Year,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196606,-0.3623,0.3077,-0.5624,0.2165,0.6946,0.2979,-0.4701,-0.4955,0.1375,1.2443,-0.9152,-1.8854,0.2414,0.5842,2.0777,-1.1151,-0.9663,-0.3177,0.0832,3.0028,-2.2126,-1.476,-2.1873,0.0385,1.6254
196607,-1.3179,-1.0992,-1.6664,-2.8746,-3.0324,-0.5612,-1.2805,-0.4985,-2.8151,-2.879,0.0377,-1.9402,0.7577,-0.3013,-2.5207,-0.0565,-2.4131,-0.6941,-1.8245,-2.4745,-0.6194,-0.8794,-0.0669,-3.0723,-1.601
196608,-10.1199,-9.9801,-10.9055,-10.3108,-12.6349,-10.599,-9.5685,-11.5819,-10.7898,-10.2521,-9.0745,-6.9803,-9.1483,-9.536,-9.6232,-7.4856,-9.7883,-7.2973,-7.5465,-9.024,-6.3025,-7.3256,-7.335,-6.8255,-7.5597
196609,-1.8621,-2.0397,-1.768,-1.2051,-2.2426,0.0943,-1.7175,-2.2151,-1.5063,-2.6391,-0.0498,-0.2743,0.2451,-2.3924,-3.4565,2.2101,0.3794,-0.7755,-2.5839,-4.4562,1.7813,0.2201,-1.0168,-2.2685,-6.7276
196610,-4.1517,-1.7045,-2.8315,-3.5229,-4.7488,0.2773,0.4639,0.5173,-0.7894,-5.0333,1.7956,3.3872,1.9516,2.805,-0.3028,3.9471,5.0365,2.9574,2.446,-3.2637,8.5993,5.2444,5.6421,2.7444,-2.563
196611,3.4905,2.5548,5.0883,3.9359,5.0873,3.4796,2.3795,2.4035,4.2232,6.8045,1.3009,3.0295,2.4519,4.5039,8.6814,1.6771,0.7792,3.6721,3.184,11.0984,-2.1851,-1.1644,1.3033,6.7454,12.8559
196612,0.9368,0.1441,0.574,-0.5633,3.916,0.4225,3.5177,1.9586,2.0439,2.6841,1.2335,1.382,2.7053,1.9628,3.512,1.746,2.3611,3.9123,1.5986,1.7098,1.1032,-0.4735,0.7651,-1.1445,-1.299
196701,14.949,17.2493,18.3984,18.1921,22.8357,12.398,16.4723,17.0071,19.8997,22.3866,10.7704,10.9949,13.8701,14.917,18.3211,7.6626,6.9397,6.9706,13.2961,15.6699,3.9776,7.5708,8.0105,9.8287,10.5668
196702,6.0598,3.5289,3.9095,4.8843,6.3551,4.8587,2.5712,2.1317,2.9957,3.0199,0.1986,1.4984,0.5837,1.9949,2.5435,-0.2709,0.8557,0.7962,0.574,3.4384,-0.2821,0.131,0.6885,3.8598,1.1657
196703,7.103,6.2514,6.7899,7.5758,6.4207,7.4657,4.7132,5.1279,7.7745,7.2566,3.2664,4.6321,4.763,9.1299,5.9083,4.7528,4.075,5.8253,5.9341,3.9683,3.3114,2.9154,5.3033,4.803,5.8919
196704,4.1311,4.8709,3.2802,6.5692,4.8857,4.2427,4.945,3.5404,4.2172,2.5515,2.3397,3.0551,2.4427,6.6709,5.7458,4.0591,3.3676,5.417,3.8262,6.0481,0.7069,4.9853,3.6868,6.7327,7.2028
196705,-0.8677,1.6503,0.1156,-0.0358,0.3904,-0.2172,-0.8452,-1.9522,-2.2621,-1.9403,-0.2599,-1.7027,-2.7203,0.1571,-3.2142,-2.3268,-2.1788,-2.8555,-0.3493,0.4283,-3.8227,-4.9029,-4.6497,-5.3021,-6.8145
196706,11.172,9.3018,13.1153,13.213,13.2264,5.6329,5.1597,7.2258,8.6954,9.3211,4.3921,4.6666,3.7891,6.2296,6.7048,1.6563,2.9944,4.6243,4.9292,5.263,1.5075,0.5226,1.9788,3.027,1.2242
196707,10.0799,7.3331,8.6428,10.0844,11.8723,7.6943,7.076,9.2833,8.7528,8.8966,6.5559,7.0652,5.1774,7.2896,7.2121,3.2957,5.8076,5.2994,8.1176,6.0545,1.9093,5.8404,4.7843,6.8503,7.6829
